Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
425,128,978322,11708262,33482
426,122,978495,11710859,32821
427,123,976804,11698377,33668
428,123,981062,11692418,32654
429,136,976211,11690694,32268
430,125,978494,11704823,31688
431,127,976432,11706582,32277
432,121,980004,11686309,32174
433,135,976325,11691715,32372
434,128,977532,11700491,33384
435,130,978849,11703267,32522
436,135,975302,11703392,32371
437,123,975693,11706561,31974
438,122,976038,11719125,31352
439,130,977982,11707210,31821
440,126,977460,11714485,31683
441,135,974257,11698176,32299
442,123,978725,11694241,33725
443,121,978999,11706143,31628
444,134,977183,11701400,31289
445,135,981092,11701035,33334
446,124,978499,11708899,31143
447,121,978370,11696818,30683
448,129,977547,11694427,31488
449,122,975807,11703658,31890
450,122,977362,11688613,31482
451,121,977247,11708207,32142
452,130,977440,11691713,32593
453,124,979362,11694980,32497
454,135,975761,11688862,31886
455,132,975487,11702558,28703
456,123,973703,11703705,32079
457,123,973789,11706176,33008
458,123,980702,11702526,33487
459,132,976045,11702736,32005
460,169,975932,11703893,32844
461,126,979759,11687997,33546
462,127,978953,11688251,32003
463,121,977338,11708108,31641
464,126,976319,11695425,31640
465,123,974898,11686830,32391
466,122,976666,11705101,30568
467,126,975864,11703323,31509
468,122,973201,11690443,32527
469,122,977519,11697024,32304
470,121,977272,11703118,32378
471,127,976166,11683773,30902
472,121,974366,11693474,29346
473,121,978410,11698376,31624
474,126,977068,11695293,33476
475,121,973590,11703252,31960
476,123,978497,11717679,32443
477,136,975461,11707397,28345
478,124,979920,11690345,31869
479,119,974181,11700962,31185
480,136,974533,11706169,32378
481,167,977335,11694103,28004
482,121,977099,11692680,31501
483,123,976798,11691107,32306
484,119,978735,11692908,33179
485,122,977832,11709032,33406
486,122,981188,11708676,31739
487,130,974057,11703197,31199
488,129,974755,11693990,29946
489,126,980610,11694065,31350
490,126,976415,11718865,33819
491,122,976707,11688849,28047
492,128,976238,11707644,31065
493,123,978529,11716075,33107
494,160,977672,11710592,31873
495,122,978484,11699316,31672
496,120,976188,11692597,31368
497,135,976648,11715059,26641
498,122,973261,11700233,32195
499,122,973904,11706395,32566
500,125,975916,11707633,31446
501,129,975510,11711931,33071
502,134,976952,11706697,30812
503,131,979829,11696481,30421
504,123,979932,11708261,32281
505,165,978495,11738526,33741
506,126,975369,11705789,32504
507,125,977439,11710815,32179
508,171,974629,11704412,32668
509,135,975732,11700939,31719
510,122,980005,11713373,32484
511,134,975052,11680434,28350
512,126,978127,11685471,32024
513,128,975800,11691845,30840
514,126,977654,11703329,28393
515,122,974600,11709645,32816
516,122,976161,11701600,32149
517,135,976399,11699828,32774
518,125,977778,11700263,28803
519,124,974872,11694593,33255
520,120,978710,11709817,32846
521,129,977386,11702519,31408
522,139,976974,11697890,32684
523,135,977085,11692254,32435
524,121,976048,11709778,31217
525,122,973032,11700453,31583
526,121,980541,11706556,32318
527,125,974815,11704881,32096
528,130,975202,11681783,31054
529,137,975116,11706496,33345
530,122,973737,11705212,31447
531,167,976667,11699946,33805
532,122,977144,11693168,31776
533,122,974282,11692438,31814
534,122,975087,11692179,32182
535,127,976390,11701904,32846
536,122,974547,11698187,32707
537,121,977605,11697634,32300
538,123,975899,11700962,33539
539,122,974366,11687033,33488
540,122,974929,11716899,31256
541,121,977033,11691400,32071
542,122,975647,11704888,29871
543,122,977644,11693152,32277
544,122,981698,11708140,31854
545,123,973265,11705997,32245
546,124,977135,11706617,28618
547,122,977811,11690533,28485
548,121,981365,11699665,31540
549,124,982102,11713566,31560
550,125,981591,11696391,32374
551,124,976231,11726289,32833
552,166,975178,11692793,33703
553,124,978398,11708730,32072
554,136,980325,11703886,31965
555,125,978145,11711345,31368
556,129,979335,11703634,34605
557,134,976864,11712581,33769
558,122,978485,11701796,31943
559,122,975851,11697059,31645
560,126,978146,11696903,32998
561,124,976377,11707148,32179
562,128,976545,11711103,32026
563,135,975883,11718932,26888
564,124,977606,11696659,31904
565,123,979353,11694905,34244
566,123,980598,11722392,32294
567,136,977491,11706411,31344
568,135,976608,11712158,32388
569,122,979728,11704911,31869
570,121,976933,11695855,32105
571,129,978054,11693328,30274
572,122,974443,11690084,32559
573,122,975797,11701124,33113
574,125,976825,11711857,32760
575,123,973320,11689669,31428
576,125,976102,11697307,31054
577,135,979865,11704054,32020
578,126,977350,11712350,33281
579,122,978309,11713420,33099
580,123,978632,11695225,31483
581,121,974983,11706678,26781
582,187,980298,11710084,32385
583,123,979960,11705755,33453
584,129,975130,11701378,33035
585,120,975478,11698194,31567
586,122,973445,11691391,32333
587,132,974689,11692326,31911
588,125,976736,11703844,30844
589,123,980374,11705514,31790
590,122,977653,11683439,29693
591,165,975772,11708442,32057
592,127,979889,11698263,32612
593,128,975271,11692862,33564
594,128,974356,11692193,30695
595,135,976297,11694737,31289
596,130,975677,11700490,31934
597,120,978059,11708007,33802
598,138,973943,11688981,32541
599,120,977955,11695036,32214
600,122,974026,11693641,32865
601,122,975800,11702549,32599
602,119,977903,11707740,33353
