Iteration, Key Generation Time seconds, Shared Secret Time seconds, AES Encryption Time seconds, Key Generation Time seconds, Shared Secret Time seconds, AES Decryption Time seconds
166,0.002830,0.015141,0.000051,0.002830,0.015141,0.000024
167,0.002709,0.009581,0.000053,0.002709,0.009581,0.000025
168,0.002860,0.009886,0.000062,0.002860,0.009886,0.000026
169,0.002750,0.009762,0.000054,0.002750,0.009762,0.000026
170,0.002951,0.009859,0.000072,0.002951,0.009859,0.000025
171,0.002771,0.009077,0.000043,0.002771,0.009077,0.000021
172,0.002708,0.009251,0.000047,0.002708,0.009251,0.000024
173,0.002843,0.009519,0.000060,0.002843,0.009519,0.000027
174,0.002804,0.008996,0.000043,0.002804,0.008996,0.000021
175,0.002696,0.009128,0.000046,0.002696,0.009128,0.000024
176,0.002830,0.009674,0.000069,0.002830,0.009674,0.000025
177,0.002844,0.009708,0.000045,0.002844,0.009708,0.000023
178,0.002878,0.009533,0.000044,0.002878,0.009533,0.000025
179,0.002939,0.009661,0.000048,0.002939,0.009661,0.000027
180,0.002871,0.009475,0.000046,0.002871,0.009475,0.000024
181,0.003011,0.010055,0.000046,0.003011,0.010055,0.000028
182,0.002938,0.009751,0.000056,0.002938,0.009751,0.000028
183,0.003072,0.010274,0.000050,0.003072,0.010274,0.000025
184,0.002790,0.009570,0.000049,0.002790,0.009570,0.000023
185,0.002798,0.009303,0.000061,0.002798,0.009303,0.000023
186,0.003000,0.009950,0.000053,0.003000,0.009950,0.000023
187,0.003030,0.009991,0.000048,0.003030,0.009991,0.000024
188,0.003083,0.010080,0.000048,0.003083,0.010080,0.000024
189,0.003074,0.010084,0.000049,0.003074,0.010084,0.000024
190,0.003076,0.010042,0.000050,0.003076,0.010042,0.000024
191,0.003022,0.010001,0.000067,0.003022,0.010001,0.000024
192,0.003028,0.010346,0.000047,0.003028,0.010346,0.000026
193,0.003218,0.010160,0.000087,0.003218,0.010160,0.000023
194,0.003139,0.010223,0.000046,0.003139,0.010223,0.000024
195,0.002946,0.009940,0.000047,0.002946,0.009940,0.000023
196,0.003117,0.010190,0.000047,0.003117,0.010190,0.000027
197,0.003359,0.010407,0.000071,0.003359,0.010407,0.000025
198,0.003169,0.031428,0.000061,0.003169,0.031428,0.000027
199,0.002744,0.009491,0.000048,0.002744,0.009491,0.000022
200,0.002897,0.009728,0.000063,0.002897,0.009728,0.000023
201,0.002985,0.010054,0.000065,0.002985,0.010054,0.000025
202,0.003064,0.010422,0.000052,0.003064,0.010422,0.000024
203,0.003201,0.010387,0.000048,0.003201,0.010387,0.000024
204,0.003129,0.010209,0.000049,0.003129,0.010209,0.000025
205,0.003168,0.010238,0.000205,0.003168,0.010238,0.000029
206,0.002899,0.010005,0.000047,0.002899,0.010005,0.000025
207,0.002973,0.009997,0.000055,0.002973,0.009997,0.000028
208,0.003184,0.010456,0.000049,0.003184,0.010456,0.000026
209,0.003203,0.010450,0.000051,0.003203,0.010450,0.000027
210,0.003062,0.010159,0.000071,0.003062,0.010159,0.000025
211,0.003038,0.010211,0.000058,0.003038,0.010211,0.000023
212,0.002992,0.010113,0.000045,0.002992,0.010113,0.000025
213,0.003123,0.010157,0.000049,0.003123,0.010157,0.000023
214,0.003270,0.010282,0.000050,0.003270,0.010282,0.000024
215,0.003087,0.010219,0.000048,0.003087,0.010219,0.000025
216,0.003200,0.010414,0.000046,0.003200,0.010414,0.000029
217,0.003330,0.010480,0.000046,0.003330,0.010480,0.000024
218,0.003138,0.010431,0.000056,0.003138,0.010431,0.000026
219,0.003219,0.010385,0.000047,0.003219,0.010385,0.000025
220,0.003135,0.010626,0.000046,0.003135,0.010626,0.000024
221,0.003062,0.010173,0.000050,0.003062,0.010173,0.000023
222,0.003191,0.010220,0.000047,0.003191,0.010220,0.000025
223,0.003344,0.010295,0.000057,0.003344,0.010295,0.000023
224,0.003115,0.010560,0.000061,0.003115,0.010560,0.000024
225,0.002761,0.009206,0.000041,0.002761,0.009206,0.000022
226,0.002735,0.009216,0.000044,0.002735,0.009216,0.000025
227,0.002747,0.009308,0.000057,0.002747,0.009308,0.000024
228,0.002867,0.009745,0.000048,0.002867,0.009745,0.000022
229,0.002883,0.009864,0.000040,0.002883,0.009864,0.000021
230,0.002901,0.009703,0.000048,0.002901,0.009703,0.000024
231,0.003277,0.010263,0.000047,0.003277,0.010263,0.000025
232,0.003160,0.010842,0.000048,0.003160,0.010842,0.000025
233,0.003259,0.010399,0.000050,0.003259,0.010399,0.000024
234,0.003183,0.010660,0.000056,0.003183,0.010660,0.000025
235,0.003191,0.010314,0.000045,0.003191,0.010314,0.000023
