Iteration,Encapsulation (microseconds),AES256 Encryption (microseconds),Decapsulation (microseconds),AES256 Decryption (microseconds)
588,1405,134,1730,171
589,1398,133,1667,210
590,1415,140,1675,165
591,1448,140,1667,164
592,1406,134,1670,166
593,1406,140,1715,170
594,1410,140,1669,165
595,1443,140,1680,168
596,1439,134,1725,165
597,1401,135,1673,170
598,1406,142,1669,165
599,1438,140,1668,164
600,1461,140,1670,168
601,1452,134,1689,248
602,1471,134,1667,171
603,1445,139,1718,163
604,1444,133,1720,170
605,1397,135,1671,170
606,1455,133,1674,165
607,1478,134,1706,171
608,1404,140,1671,170
609,1446,140,1676,164
610,1456,135,1668,165
611,1462,140,1678,248
612,1395,134,1676,165
613,1411,140,1736,165
614,1429,134,1673,199
615,1409,140,1741,165
616,1440,140,1706,165
617,1410,134,1676,165
618,1410,141,1676,166
619,1405,204,1718,164
620,1462,133,1710,170
621,1404,133,1706,171
622,1404,141,1716,170
623,1450,139,1671,170
624,1455,134,1675,170
625,1412,136,1681,166
626,1399,134,1675,165
627,1404,166,1721,166
628,1396,134,1736,164
629,1405,133,1672,164
630,1429,135,1676,165
631,1465,133,1671,170
632,1234,119,1712,163
633,1275,117,1674,165
634,1227,118,1675,169
635,1296,118,1673,165
636,1221,123,1741,164
637,1253,119,1679,170
638,1228,118,1710,163
639,1406,141,1671,164
640,1415,135,1670,171
641,1462,133,1725,170
642,1430,140,1672,245
643,1449,133,1674,204
644,1412,135,1674,166
645,1443,133,1678,164
646,1410,133,1672,164
647,1459,134,1669,267
648,1444,134,1671,169
649,1456,134,1675,208
650,1398,140,1674,227
651,1440,134,1737,172
652,1434,133,1670,165
653,1406,133,1676,164
654,1407,134,1682,166
655,1463,134,1676,164
656,1407,133,1669,170
657,1400,140,1684,165
658,1441,133,1674,207
659,1410,142,1673,165
660,1427,134,1673,202
661,1403,134,1717,165
662,1429,135,1675,164
663,1477,134,1672,168
664,1420,133,1721,165
665,1400,133,1680,166
666,1403,134,1670,164
667,1402,134,1675,163
668,1460,134,1710,170
669,1395,133,1672,171
670,1457,134,1677,200
671,1408,134,1761,163
672,1410,133,1672,165
673,1438,133,1746,165
674,1460,134,1676,163
675,1472,133,1751,161
676,1449,133,1697,165
677,1447,134,1677,170
678,1407,134,1669,170
679,1440,134,1699,163
680,1461,134,1671,168
681,1395,134,1728,163
682,1404,138,1672,163
683,1449,133,1670,215
684,1552,133,1673,164
685,1445,134,1674,164
686,1440,134,1673,165
687,1399,135,1711,163
688,1400,135,1677,171
689,1457,133,1675,164
690,1405,135,1677,163
691,1429,135,1679,164
692,1462,134,1673,204
693,1402,135,1696,170
694,1408,133,1675,171
695,1404,134,1679,165
696,1438,133,1669,170
697,1440,134,1699,164
698,1415,134,1716,163
699,1453,133,1672,238
700,1426,133,1737,164
701,1445,134,1740,164
702,1437,135,1675,169
703,1451,134,1704,165
704,1433,140,1681,165
705,1446,139,1669,164
706,1433,134,1675,163
707,1411,134,1677,164
708,1440,134,1673,169
709,1432,134,1671,163
710,1437,140,1731,171
711,1395,133,1667,164
712,1450,133,1672,169
713,1413,134,1712,163
714,1462,133,1674,164
715,1400,133,1670,171
716,1459,135,1721,164
717,1426,141,1750,165
718,1442,134,1678,166
719,1399,134,1718,169
720,1401,140,1669,164
721,1439,133,1670,206
722,1410,134,1683,170
723,1445,141,1705,163
724,1403,140,1705,163
725,1400,134,1711,163
726,1399,135,1667,162
727,1449,140,1751,170
728,1450,140,1676,165
729,1461,133,1669,169
730,1455,133,1696,170
731,1408,140,1679,163
732,1407,134,1669,166
733,1401,135,1674,164
734,1450,142,1675,165
735,1465,134,1678,162
736,1400,133,1718,165
737,1408,141,1676,169
738,1444,140,1672,171
739,1409,140,1670,169
740,1408,134,1674,165
741,1409,140,1674,165
742,1464,140,1675,164
743,1278,118,1670,166
744,1225,120,1670,171
745,1413,134,1738,165
746,1399,134,1674,163
747,1405,134,1766,165
748,1451,139,1674,163
749,1474,142,1670,168
750,1453,134,1757,165
751,1464,133,1720,170
752,1456,140,1699,165
753,1415,133,1670,170
754,1458,133,1672,163
755,1395,134,1724,170
756,1450,133,1674,167
757,1403,134,1711,168
758,1410,134,1699,164
759,1484,141,1669,170
760,1431,134,1712,165
761,1446,133,1675,170
762,1399,133,1675,164
763,1447,134,1736,165
764,1440,141,1715,171
765,1444,132,1668,172
766,1399,134,1727,165
767,1398,134,1689,164
768,1436,142,1468,154
769,1449,139,1462,153
770,1411,141,1465,231
771,1470,142,1685,165
772,1454,135,1732,163
773,1407,134,1737,163
774,1438,133,1680,170
775,1457,133,1675,166
776,1453,133,1703,165
777,1398,135,1695,168
778,1475,135,1675,164
779,1454,140,1713,164
780,1400,140,1670,170
781,1454,133,1722,162
782,1436,133,1535,153
783,1458,133,1473,147
784,1467,134,1464,149
785,1435,140,1674,164
786,1439,141,1672,164
787,1397,134,1725,166
788,1452,141,1678,166
789,1399,135,1750,169
790,1428,134,1677,169
791,1407,140,1731,171
792,1398,140,1706,169
793,1407,133,1674,166
794,1459,139,1670,256
795,1482,133,1672,170
796,1443,135,1680,164
797,1401,135,1464,148
798,1450,134,1458,149
799,1441,134,1458,147
800,1407,141,1460,146
801,1400,134,1562,154
802,1404,135,1522,153
803,1436,134,1540,153
804,1401,140,1463,147
805,1400,135,1678,257
806,1438,133,1710,165
807,1463,140,1674,170
808,1412,135,1672,217
809,1402,216,1468,149
810,1433,134,1510,153
811,1394,133,1505,152
812,1404,134,1464,153
813,1451,134,1676,165
814,1405,134,1757,171
815,1403,135,1681,166
816,1448,142,1722,169
817,1407,134,1716,164
818,1426,134,1727,165
819,1399,135,1684,164
820,1465,135,1669,165
821,1405,142,1734,164
822,1410,135,1672,166
823,1410,134,1677,164
824,1399,134,1499,151
825,1438,140,1466,148
826,1446,134,1465,147
827,1407,141,1678,164
828,1457,134,1724,161
829,1433,141,1718,170
830,1405,133,1707,171
831,1404,135,1469,149
832,1445,134,1463,148
833,1398,134,1510,148
834,1404,135,1465,147
835,1408,134,1673,163
836,1424,134,1762,164
837,1398,142,1674,221
838,1403,135,1673,166
839,1400,135,1748,172
840,1400,140,1673,164
841,1436,140,1672,168
842,1402,140,1461,147
843,1402,134,1532,147
844,1450,135,1464,149
845,1398,133,1677,163
846,1456,135,1674,263
847,1449,134,1668,175
848,1397,140,1755,164
849,1450,133,1493,146
850,1407,141,1465,148
851,1414,134,1466,152
852,1405,135,1516,145
853,1423,137,1463,148
854,1452,140,1492,147
855,1408,133,1461,148
856,1468,140,1543,146
857,1470,141,1459,148
858,1433,141,1466,152
859,1404,134,1510,150
860,1434,134,1676,171
861,1449,133,1668,165
862,1412,134,1715,163
863,1399,134,1673,170
864,1451,134,1683,199
865,1410,140,1714,169
866,1403,140,1722,171
867,1448,141,1671,175
868,1436,141,1741,171
869,1420,140,1724,165
870,1395,136,1674,165
871,1402,134,1716,171
